Feature 1,Feature 2,Absolute Pearson Correlation
Packet Length Std,Avg Bwd Segment Size,0.9180915464771472
Fwd IAT Std,Fwd IAT Max,0.917455819412502
Max Packet Length,Packet Length Mean,0.9163841091525898
Flow IAT Max,Fwd IAT Std,0.9151751280232405
Bwd Packet Length Mean,Average Packet Size,0.9150858620031009
Average Packet Size,Avg Bwd Segment Size,0.9150858620031008
Fwd IAT Std,Idle Max,0.9141343842478686
Max Packet Length,Average Packet Size,0.9116022957398678
Flow IAT Std,Idle Min,0.9077046174986748
Active Mean,Active Min,0.9057398521805647
Fwd IAT Std,Idle Mean,0.9030558757556626
Max Packet Length,Avg Bwd Segment Size,0.9029253122769568
Bwd Packet Length Mean,Max Packet Length,0.9029253122769568
Flow IAT Mean,Fwd IAT Mean,0.9017955115524606
Fwd Packet Length Mean,Fwd Packet Length Std,0.8977110175888656
Fwd Packet Length Std,Avg Fwd Segment Size,0.8977110175888655
Max Packet Length,Packet Length Variance,0.8951255723333691
Bwd Packet Length Std,Packet Length Variance,0.8902511110058955
Fwd Packet Length Max,Avg Fwd Segment Size,0.8889407708388861
Fwd Packet Length Max,Fwd Packet Length Mean,0.8889407708388861
Subflow Fwd Packets,act_data_pkt_fwd,0.8873857929361042
Total Fwd Packets,act_data_pkt_fwd,0.8873857929361042
Fwd IAT Mean,Fwd IAT Min,0.8855686554532035
Subflow Bwd Bytes,act_data_pkt_fwd,0.8839855127989452
Total Length of Bwd Packets,act_data_pkt_fwd,0.8839663559108433
Fwd IAT Min,Bwd IAT Min,0.8836453236028423
Total Backward Packets,act_data_pkt_fwd,0.8825656722694825
Subflow Bwd Packets,act_data_pkt_fwd,0.8825656722694825
Bwd Packet Length Max,Packet Length Mean,0.8788578688829434
Bwd Packet Length Max,Average Packet Size,0.8737777565757274
Fwd IAT Std,Idle Min,0.8736914996215901
Fwd Header Length,min_seg_size_forward,0.8599206179323567
Fwd Header Length.1,min_seg_size_forward,0.8599206179323567
Bwd Packet Length Max,Packet Length Variance,0.8518607987185212
Bwd Packet Length Std,Packet Length Mean,0.849176411626576
Bwd Packet Length Std,Average Packet Size,0.8490915966558449
Fwd IAT Mean,Bwd IAT Mean,0.8489190046038863
Bwd IAT Std,Bwd IAT Max,0.8486924576104169
Active Mean,Active Max,0.8311561318213995
Flow IAT Std,Fwd IAT Mean,0.8277051000918428
Flow Duration,Bwd IAT Total,0.819627386552049
Fwd IAT Min,Bwd IAT Mean,0.8192087041556603
Packet Length Variance,Average Packet Size,0.8166684288619035
Fwd IAT Total,Bwd IAT Total,0.8164227581018049
Packet Length Mean,Packet Length Variance,0.8054151554045363
Flow IAT Std,Fwd IAT Std,0.8024980452283834
Fwd IAT Mean,Bwd IAT Min,0.7973212309483163
Bwd Packet Length Mean,Packet Length Variance,0.7930752557760551
Packet Length Variance,Avg Bwd Segment Size,0.7930752557760551
Active Std,Active Max,0.7914390981141135
Fwd IAT Total,Fwd IAT Max,0.7818048504281424
Flow Duration,Flow IAT Max,0.7795959213123165
Flow Duration,Fwd IAT Max,0.7793435274729378
Flow IAT Max,Fwd IAT Total,0.7792868705564638
Fwd IAT Total,Idle Max,0.775806096347301
Flow Duration,Idle Max,0.7753848641239778
Flow IAT Mean,Fwd IAT Min,0.7741856985743026
Fwd IAT Total,Idle Mean,0.7642640583748057
Flow Duration,Idle Mean,0.763753077160589
Flow Duration,Flow IAT Std,0.734439872285126
Fwd IAT Total,Idle Min,0.7343298074337647
Flow IAT Std,Fwd IAT Total,0.7341344219224858
Flow Duration,Idle Min,0.7337263854513068
Fwd IAT Total,Fwd IAT Std,0.7227571173239121
Flow Duration,Fwd IAT Std,0.7206442239350602
Bwd IAT Total,Bwd IAT Max,0.719500023874956
Bwd Packet Length Min,Min Packet Length,0.717673937260873
Flow IAT Mean,Flow IAT Std,0.7107172304693533
Bwd IAT Mean,Bwd IAT Max,0.7061431842881307
Bwd Header Length,min_seg_size_forward,0.6793529792425188
Fwd IAT Mean,Fwd IAT Max,0.6787695164039891
Flow IAT Max,Fwd IAT Mean,0.6775124972724784
Flow IAT Std,Bwd IAT Max,0.67676371510953
Flow IAT Std,Bwd IAT Mean,0.6681775179659658
Fwd IAT Mean,Idle Mean,0.6590976048065643
Fwd IAT Mean,Idle Max,0.6562210706062263
Flow IAT Mean,Flow IAT Max,0.6559823462191823
Flow IAT Mean,Fwd IAT Max,0.6544063418019489
Bwd IAT Max,Idle Max,0.6509520386857636
Fwd IAT Mean,Idle Min,0.6486114579103185
Flow IAT Max,Bwd IAT Max,0.6452983308188085
Bwd IAT Max,Idle Mean,0.6451228558766575
Fwd IAT Max,Bwd IAT Max,0.6434524564418814
Bwd IAT Total,Bwd IAT Std,0.6404110023260002
Flow IAT Mean,Bwd IAT Mean,0.6331998063260196
Flow IAT Mean,Flow IAT Min,0.630406255117974
Bwd IAT Max,Idle Min,0.6279169850493769
Fwd IAT Std,Bwd IAT Std,0.6275938424348378
Fwd IAT Mean,Bwd IAT Max,0.623033645427907
Fwd IAT Std,Max Packet Length,0.6198099214226297
Flow IAT Mean,Idle Max,0.6082050323061033
Flow IAT Mean,Idle Mean,0.6064861749625113
Bwd Packet Length Max,Fwd IAT Std,0.596203319116649
Flow IAT Mean,Idle Min,0.5927551211228882
Max Packet Length,Idle Max,0.5887341097506369
Destination Port,ACK Flag Count,0.5865774858321618
Flow IAT Max,Max Packet Length,0.5864284240967539
Fwd IAT Std,Avg Bwd Segment Size,0.5855647944555292
Bwd Packet Length Mean,Fwd IAT Std,0.5855647944555291
Fwd IAT Max,Max Packet Length,0.5844604356294655
Active Max,Active Min,0.583757933121688
Fwd IAT Std,Packet Length Std,0.5831951640364355
Flow Duration,Bwd IAT Max,0.5798713670957322
Fwd IAT Total,Bwd IAT Max,0.5771024034528929
Max Packet Length,Idle Mean,0.5765742094098449
Bwd Packet Length Max,Idle Max,0.5736566255081069
Flow IAT Mean,Bwd IAT Min,0.5734223284879129
PSH Flag Count,Init_Win_bytes_forward,0.5724297345389676
Bwd Packet Length Std,Fwd IAT Std,0.571952971975049
Bwd Packet Length Max,Flow IAT Max,0.5712531077413658
Bwd Packet Length Mean,Idle Max,0.5697987731318002
Avg Bwd Segment Size,Idle Max,0.5697987731318002
Bwd Packet Length Max,Idle Mean,0.5687432293596221
Flow IAT Max,Avg Bwd Segment Size,0.567730794778092
Bwd Packet Length Mean,Flow IAT Max,0.5677307947780919
Bwd Packet Length Max,Fwd IAT Max,0.5668640696671109
Avg Bwd Segment Size,Idle Mean,0.5648504517118412
Bwd Packet Length Mean,Idle Mean,0.5648504517118412
Bwd Packet Length Mean,Fwd IAT Max,0.5631209723586769
Fwd IAT Max,Avg Bwd Segment Size,0.5631209723586769
Bwd IAT Std,Idle Max,0.551103283077094
Max Packet Length,Idle Min,0.550976415269267
Bwd Packet Length Max,Idle Min,0.5508280145045158
Packet Length Std,Idle Max,0.548611321821656
Avg Bwd Segment Size,Idle Min,0.547236927205373
Bwd Packet Length Mean,Idle Min,0.547236927205373
Flow IAT Max,Packet Length Std,0.5467723619669075
Flow IAT Max,Bwd IAT Std,0.5465420713824078
Bwd IAT Std,FIN Flag Count,0.5464654098098076
Bwd Packet Length Std,Idle Max,0.54643369210801
Bwd Packet Length Std,Flow IAT Max,0.5445536396588346
Fwd IAT Max,Bwd IAT Std,0.5444681473062112
Fwd IAT Total,Fwd IAT Mean,0.5444231215622268
Fwd IAT Max,Packet Length Std,0.5442395721845615
Flow IAT Std,Bwd IAT Min,0.5441921694933555
Bwd IAT Std,Idle Mean,0.5436177377031991
Flow Duration,Fwd IAT Mean,0.5425972964847906
Fwd IAT Std,Bwd IAT Max,0.5414934819498854
Bwd Packet Length Std,Fwd IAT Max,0.5404386888563931
Bwd Packet Length Std,Idle Mean,0.5395923657096466
Packet Length Std,Idle Mean,0.538095436952456
Flow Duration,Flow IAT Mean,0.5342496876964845
Flow IAT Mean,Fwd IAT Total,0.5339570432384084
Fwd IAT Std,Packet Length Mean,0.5283527174999504
Bwd IAT Std,Idle Min,0.5262967903883944
Destination Port,URG Flag Count,0.5249248808112807
Bwd Packet Length Std,Idle Min,0.5206500358494871
Flow Duration,Bwd IAT Std,0.5172889651790712
Flow IAT Std,Fwd IAT Min,0.5167095020443245
Packet Length Std,Idle Min,0.5153066730622896
Fwd IAT Std,Average Packet Size,0.5150113851914087
Fwd IAT Total,Bwd IAT Std,0.5138514173424229
Bwd IAT Total,Bwd IAT Mean,0.5074082719540394
Packet Length Mean,Idle Max,0.5035584510742638
Flow IAT Max,Packet Length Mean,0.5026888467430639
Flow Duration,Max Packet Length,0.5004502398552759
Fwd IAT Max,Packet Length Mean,0.49878502926926216
ACK Flag Count,URG Flag Count,0.49875634255974716
Packet Length Mean,Idle Mean,0.4983594704623519
Fwd IAT Total,Max Packet Length,0.4968579624635084
Average Packet Size,Idle Max,0.48955841054686255
Flow IAT Max,Average Packet Size,0.48842629725741477
Flow IAT Mean,Bwd IAT Max,0.4878657064023954
Flow IAT Std,Max Packet Length,0.48680399282632186
Flow Duration,Bwd Packet Length Max,0.4848172116773934
Average Packet Size,Idle Mean,0.48469618696214084
Fwd IAT Max,Average Packet Size,0.4846524401363286
Packet Length Mean,Idle Min,0.4819324782688086
Bwd Packet Length Max,Fwd IAT Total,0.4812690587919336
Flow IAT Std,Bwd IAT Std,0.480534650199632
Bwd Packet Length Max,Flow IAT Std,0.47645530142283066
Bwd IAT Max,FIN Flag Count,0.4712835157197414
Average Packet Size,Idle Min,0.46900055475132674
Flow IAT Std,Avg Bwd Segment Size,0.4684033456800744
Bwd Packet Length Mean,Flow IAT Std,0.4684033456800744
Bwd IAT Max,Bwd IAT Min,0.4666959268378028
Bwd Packet Length Std,Flow IAT Std,0.46044610126113417
Bwd IAT Mean,Idle Mean,0.4573528700057877
Bwd IAT Mean,Idle Max,0.4565733104834634
Flow IAT Std,Packet Length Std,0.4552008417047174
Flow IAT Std,Bwd IAT Total,0.45320348141017175
Flow IAT Max,Bwd IAT Mean,0.4519908342162501
Fwd IAT Max,Bwd IAT Mean,0.4511588782374751
Bwd IAT Mean,Idle Min,0.45113005202994655
Flow Duration,Avg Bwd Segment Size,0.44743868437459855
Flow Duration,Bwd Packet Length Mean,0.44743868437459855
Bwd Packet Length Mean,Fwd IAT Total,0.4442478187015628
Fwd IAT Total,Avg Bwd Segment Size,0.44424781870156277
Flow Duration,Packet Length Std,0.44401522592198683
Fwd Packet Length Min,Min Packet Length,0.442694709422108
Fwd IAT Total,Packet Length Std,0.4404207853592324
Bwd IAT Total,Idle Max,0.4396362827278365
PSH Flag Count,ACK Flag Count,0.4395878255495497
Bwd IAT Total,Idle Mean,0.43553235922761596
Active Mean,Active Std,0.4337143499353437
Flow Duration,Bwd Packet Length Std,0.4325715059988545
Fwd IAT Max,Bwd IAT Total,0.4325577625837072
Flow IAT Max,Bwd IAT Total,0.4323610856027492
Bwd Header Length,Fwd Header Length.1,0.4297115381829874
Fwd Header Length,Bwd Header Length,0.4297115381829874
Bwd Packet Length Std,Fwd IAT Total,0.42939574548090764
Fwd IAT Std,Packet Length Variance,0.4278904182118394
Fwd IAT Mean,Bwd IAT Total,0.423349604973285
Min Packet Length,PSH Flag Count,0.4214148469056361
Flow IAT Mean,Fwd IAT Std,0.42034195768362587
Fwd IAT Std,FIN Flag Count,0.41965086261853
Bwd IAT Total,Idle Min,0.41914831505977307
Flow Duration,Packet Length Mean,0.4160678680437259
Fwd IAT Mean,Fwd IAT Std,0.41231772412766604
Fwd IAT Total,Packet Length Mean,0.4118534873278908
Flow IAT Std,Packet Length Mean,0.4082486001997674
Flow Duration,Bwd IAT Mean,0.4081965568659686
Subflow Fwd Bytes,act_data_pkt_fwd,0.40801007224730446
Fwd IAT Total,Bwd IAT Mean,0.4076303401682056
Total Length of Fwd Packets,act_data_pkt_fwd,0.4074729563039794
Fwd IAT Min,Bwd IAT Max,0.4047367552131696
Flow IAT Std,Average Packet Size,0.39788119020478924
Packet Length Variance,Idle Max,0.3970864930873467
Flow IAT Max,Packet Length Variance,0.3945699760914366
Flow Duration,Average Packet Size,0.39362433835085797
Fwd IAT Max,Packet Length Variance,0.39325215113166917
Fwd IAT Total,Average Packet Size,0.38971251032355286
Bwd Packet Length Min,PSH Flag Count,0.38638348505330966
Packet Length Variance,Idle Mean,0.38636364936988205
Fwd Packet Length Max,Max Packet Length,0.37912868551713874
Fwd IAT Std,Bwd IAT Total,0.3748736264373624
Bwd Packet Length Min,ACK Flag Count,0.3733909971718463
Fwd Packet Length Std,Max Packet Length,0.3733250371947212
Packet Length Variance,Idle Min,0.36717209520648986
Min Packet Length,ACK Flag Count,0.3663751394431958
Total Fwd Packets,Subflow Fwd Bytes,0.36599209134845195
Subflow Fwd Packets,Subflow Fwd Bytes,0.36599209134845195
Total Fwd Packets,Total Length of Fwd Packets,0.3655100120621662
Total Length of Fwd Packets,Subflow Fwd Packets,0.3655100120621662
Subflow Fwd Bytes,Subflow Bwd Packets,0.35993902975145226
Total Backward Packets,Subflow Fwd Bytes,0.3599390297514522
Destination Port,Flow Packets/s,0.35953083775174993
Total Length of Fwd Packets,Subflow Bwd Packets,0.3594569967026174
Total Backward Packets,Total Length of Fwd Packets,0.3594569967026173
FIN Flag Count,Idle Min,0.3577076003565054
FIN Flag Count,Idle Mean,0.3549490924305099
Subflow Fwd Bytes,Subflow Bwd Bytes,0.35426853205061737
Total Length of Bwd Packets,Subflow Fwd Bytes,0.3542619121108584
Total Length of Fwd Packets,Subflow Bwd Bytes,0.35378911515968825
Total Length of Fwd Packets,Total Length of Bwd Packets,0.35378250417828044
Fwd Packet Length Std,Packet Length Std,0.35234628535189
Destination Port,Fwd Packets/s,0.3486280459833915
Flow IAT Mean,Bwd IAT Total,0.3475341050579095
FIN Flag Count,Idle Max,0.34545656725808976
Fwd Packet Length Max,Packet Length Std,0.3419981154790407
Flow IAT Max,FIN Flag Count,0.34104540822612894
Fwd IAT Max,FIN Flag Count,0.34080033647575064
Fwd PSH Flags,ACK Flag Count,0.335943912810118
SYN Flag Count,ACK Flag Count,0.335943912810118
Flow IAT Std,Packet Length Variance,0.3352933366906712
Bwd IAT Std,Max Packet Length,0.3348481172894366
Fwd Packet Length Max,Packet Length Mean,0.33018852098273604
Flow IAT Min,Fwd IAT Min,0.3274412831753712
Fwd Packet Length Std,Packet Length Mean,0.3256249865259301
Flow Packets/s,Bwd Packets/s,0.32336534875476747
Bwd IAT Mean,Bwd IAT Std,0.32225497054510704
Fwd Packet Length Max,Average Packet Size,0.32157118931304507
Fwd Packet Length Std,Average Packet Size,0.32135733976105324
Bwd IAT Std,Packet Length Std,0.3103492213008124
Fwd IAT Max,Fwd IAT Min,0.3102620134952673
Flow IAT Max,Fwd IAT Min,0.310211556483279
Bwd IAT Min,Idle Mean,0.309324473334898
Bwd IAT Min,Idle Min,0.30931657944276686
Min Packet Length,Init_Win_bytes_forward,0.30875942216954844
Fwd Packets/s,SYN Flag Count,0.30644304442150483
Fwd PSH Flags,Fwd Packets/s,0.30644304442150483
Bwd IAT Min,Idle Max,0.3052483639870499
Flow IAT Max,Bwd IAT Min,0.3022521803220862
Fwd IAT Max,Bwd IAT Min,0.3020556002138315
Flow IAT Std,FIN Flag Count,0.30163543337575216
Fwd IAT Min,Idle Min,0.3010105265464505
Flow Bytes/s,Fwd Packets/s,0.29957634478315626
Average Packet Size,Avg Fwd Segment Size,0.2990586575152526
Fwd Packet Length Mean,Average Packet Size,0.2990586575152526
Packet Length Mean,Avg Fwd Segment Size,0.29702237017932476
Fwd Packet Length Mean,Packet Length Mean,0.29702237017932476
Fwd IAT Min,Idle Mean,0.2968196704134645
Fwd Packet Length Min,Bwd Packet Length Min,0.2949332458441775
Bwd Packet Length Min,Init_Win_bytes_forward,0.29426855455432166
Fwd Packet Length Min,Down/Up Ratio,0.2935530887547661
Fwd Packet Length Max,Bwd IAT Total,0.2906734701668473
Flow Duration,Active Max,0.28955721590963657
Packet Length Mean,PSH Flag Count,0.2892944340664564
Flow Packets/s,SYN Flag Count,0.2882260516976158
Flow Packets/s,Fwd PSH Flags,0.2882260516976158
Flow Bytes/s,Flow Packets/s,0.28727188835295053
Bwd IAT Max,Max Packet Length,0.2871333187786262
Fwd Packet Length Mean,Max Packet Length,0.28706935007404116
Max Packet Length,Avg Fwd Segment Size,0.28706935007404105
Fwd IAT Min,Idle Max,0.28700325852050473
Flow IAT Min,Fwd IAT Mean,0.2866897220479306
Min Packet Length,Max Packet Length,0.28630785820748517
Bwd IAT Std,Packet Length Mean,0.28617077049114115
Fwd IAT Mean,Bwd IAT Std,0.2853631772250589
Fwd IAT Total,Active Max,0.2851566000391494
Min Packet Length,Packet Length Std,0.2838999161482614
Fwd IAT Max,Idle Std,0.2831004991738261
Bwd IAT Total,Active Max,0.28306407603570005
URG Flag Count,Down/Up Ratio,0.2826464805237546
Idle Std,Idle Max,0.2807586425673272
Bwd Packet Length Max,Bwd IAT Std,0.2794120448094897
Fwd Packet Length Mean,Packet Length Std,0.2790283824439373
Packet Length Std,Avg Fwd Segment Size,0.2790283824439373
Bwd Packet Length Std,Min Packet Length,0.27837374862473985
Fwd Packet Length Std,Packet Length Variance,0.27769245426641465
Flow IAT Max,Idle Std,0.2776352850298316
Fwd IAT Std,Idle Std,0.2763749834196964
Bwd IAT Std,Average Packet Size,0.2762122973352573
Bwd IAT Total,PSH Flag Count,0.27468722788516703
Bwd Packet Length Max,Min Packet Length,0.2734676671141478
PSH Flag Count,Average Packet Size,0.2723872407127827
Flow Duration,Packet Length Variance,0.2709536213374461
Fwd IAT Total,Packet Length Variance,0.2694114743205591
Fwd Packet Length Std,Bwd IAT Std,0.2685925228122227
Packet Length Std,PSH Flag Count,0.26748004867928155
Bwd IAT Total,Bwd IAT Min,0.2669238397426693
Fwd Packet Length Max,Bwd IAT Std,0.2644752391564516
Bwd IAT Total,Active Std,0.2636398857648843
Flow Duration,Fwd Packet Length Max,0.26257931977734605
Destination Port,Bwd Packet Length Min,0.2619049752593481
Bwd IAT Max,Packet Length Std,0.2604147050102608
Max Packet Length,PSH Flag Count,0.2588865208075337
Fwd Packet Length Max,Fwd IAT Total,0.25879016854526427
Flow IAT Mean,Bwd IAT Std,0.2585383621155146
Bwd Packet Length Min,Bwd Packet Length Std,0.25824087289100406
Bwd Packet Length Min,Max Packet Length,0.25642659957183384
Bwd IAT Max,Packet Length Mean,0.2542134112025954
Destination Port,Min Packet Length,0.2536969856681044
Fwd Packet Length Max,Packet Length Variance,0.25256820226967436
Flow Packets/s,ACK Flag Count,0.25214784496519804
Fwd Packet Length Max,Bwd IAT Max,0.25209877621929644
Bwd Packet Length Max,PSH Flag Count,0.2510200006968442
Fwd Packet Length Std,Bwd IAT Max,0.2505640314951474
Bwd Packet Length Std,Bwd IAT Std,0.2504795810366421
Bwd IAT Total,Max Packet Length,0.24837489058164433
Bwd Packet Length Max,FIN Flag Count,0.24789243666391642
Fwd Packets/s,ACK Flag Count,0.24741193695005395
Bwd IAT Total,FIN Flag Count,0.2472971812875475
Flow Duration,Min Packet Length,0.24611126507411335
Fwd Packet Length Min,Avg Fwd Segment Size,0.24412333543573164
Fwd Packet Length Min,Fwd Packet Length Mean,0.24412333543573164
Bwd Packet Length Min,Packet Length Std,0.24406498968617263
Bwd IAT Max,Average Packet Size,0.2436712846852391
Fwd Packet Length Std,Bwd IAT Total,0.24207367803036864
Bwd Packet Length Max,Bwd Packet Length Min,0.24183810683256077
Fwd IAT Total,Min Packet Length,0.24148698216015013
Destination Port,Bwd Packet Length Mean,0.24082529078931283
Destination Port,Avg Bwd Segment Size,0.24082529078931283
Flow Duration,Idle Std,0.24011384921746906
Fwd IAT Total,Idle Std,0.23949278032748048
Flow Duration,Bwd Packet Length Min,0.2384440364753356
Flow Duration,Active Std,0.23826227660277063
Bwd Packet Length Std,PSH Flag Count,0.2348636987992873
Fwd IAT Total,Active Std,0.23480551215516152
Destination Port,Fwd PSH Flags,0.23450339695778671
Destination Port,SYN Flag Count,0.23450339695778671
Bwd Packet Length Min,Fwd IAT Total,0.2340975614646812
Bwd Packet Length Max,Bwd IAT Max,0.23277416279161744
Fwd Packet Length Mean,Bwd IAT Std,0.2326671842319589
Bwd IAT Std,Avg Fwd Segment Size,0.2326671842319589
Flow IAT Std,Idle Std,0.231576135377886
Bwd Packet Length Std,FIN Flag Count,0.2309732076535066
Max Packet Length,FIN Flag Count,0.23058777425016394
Fwd Packet Length Std,Fwd IAT Std,0.22955262012756983
PSH Flag Count,Avg Bwd Segment Size,0.2283980049788015
Bwd Packet Length Mean,PSH Flag Count,0.2283980049788015
Bwd Packet Length Mean,Min Packet Length,0.22620828021936654
Min Packet Length,Avg Bwd Segment Size,0.22620828021936654
Bwd Packet Length Mean,Bwd IAT Std,0.225385175102695
Bwd IAT Std,Avg Bwd Segment Size,0.22538517510269496
Packet Length Std,FIN Flag Count,0.22520981666100098
Fwd Packet Length Max,PSH Flag Count,0.22436223436823519
Flow Duration,Fwd Packet Length Std,0.22409266818174492
Fwd IAT Min,Bwd IAT Total,0.22400576450148568
Bwd IAT Max,Avg Fwd Segment Size,0.22297499185114752
Fwd Packet Length Mean,Bwd IAT Max,0.2229749918511475
Max Packet Length,Idle Std,0.22170501797158798
Fwd Packet Length Std,Fwd IAT Total,0.22105300892137755
Destination Port,PSH Flag Count,0.22091007797937454
PSH Flag Count,URG Flag Count,0.2205426197575859
Flow IAT Mean,Max Packet Length,0.219967807470445
Fwd IAT Total,FIN Flag Count,0.21958792602163124
Fwd IAT Std,Min Packet Length,0.21860308026377168
Flow Duration,FIN Flag Count,0.21793225897076854
FIN Flag Count,Avg Bwd Segment Size,0.21619199927890795
Bwd Packet Length Mean,FIN Flag Count,0.21619199927890792
Bwd Packet Length Max,Flow IAT Mean,0.21572840421498093
Fwd Packet Length Max,Fwd IAT Std,0.21548805217444583
Destination Port,Bwd Packet Length Max,0.21473193923773323
Fwd IAT Mean,Max Packet Length,0.2143830111267675
Min Packet Length,Packet Length Mean,0.21382264718596103
Fwd IAT Total,Bwd IAT Min,0.21360338746402424
Packet Length Mean,FIN Flag Count,0.21331725471230625
Flow Duration,Bwd IAT Min,0.2124761743920654
Packet Length Variance,Avg Fwd Segment Size,0.21137149855600085
Fwd Packet Length Mean,Packet Length Variance,0.21137149855600085
Bwd Packet Length Std,Flow IAT Mean,0.211067751772885
Fwd IAT Total,Fwd IAT Min,0.21072585522365941
Bwd IAT Std,Packet Length Variance,0.21065686895348196
Bwd Packet Length Max,Bwd IAT Total,0.2104265311585679
FIN Flag Count,Average Packet Size,0.20962169570306852
Flow Duration,Fwd IAT Min,0.20952088736243568
Destination Port,Init_Win_bytes_backward,0.2053778928649749
Bwd IAT Total,Packet Length Mean,0.20460996957682578
Bwd Packet Length Max,Fwd IAT Mean,0.20457394675174193
Bwd Packet Length Mean,Flow IAT Mean,0.20345759821864293
Flow IAT Mean,Avg Bwd Segment Size,0.20345759821864293
Min Packet Length,Packet Length Variance,0.20339609506405545
Fwd Packet Length Min,PSH Flag Count,0.20244868528008494
Bwd Packet Length Min,Fwd IAT Std,0.20237774314552426
Bwd IAT Total,Packet Length Std,0.2018142219285172
Flow IAT Mean,Packet Length Std,0.20180629737422426
Fwd Packet Length Std,Fwd IAT Max,0.20138365993027926
Min Packet Length,Down/Up Ratio,0.2013710953801649
Bwd Packet Length Min,Down/Up Ratio,0.2013150693562097
Packet Length Std,Idle Std,0.20076113561009842
URG Flag Count,Init_Win_bytes_backward,0.20006835964721342
Bwd Packet Length Std,Bwd IAT Max,0.19930706023453582
Fwd IAT Mean,Packet Length Std,0.1974812742548402
Fwd Packet Length Std,PSH Flag Count,0.19743356946125537
Fwd Packet Length Max,Subflow Fwd Bytes,0.19644174266131262
Bwd Packet Length Std,Fwd IAT Mean,0.1963574438734424
Total Length of Fwd Packets,Fwd Packet Length Max,0.19617768823396745
Fwd Packet Length Std,Flow IAT Max,0.19600082114847817
Fwd IAT Mean,Avg Bwd Segment Size,0.19528306779272672
Bwd Packet Length Mean,Fwd IAT Mean,0.1952830677927267
Fwd Packet Length Max,Fwd IAT Max,0.19527561872125535
Fwd Packet Length Std,Idle Max,0.19417870652926
Fwd IAT Std,Bwd IAT Mean,0.19373093310670153
Bwd Packet Length Min,URG Flag Count,0.19297500968063197
Destination Port,Bwd Packet Length Std,0.1924454247962338
Fwd Packet Length Max,Flow IAT Max,0.19117935124329524
