,Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min
Bwd Packet Length Max,0.21473193923773323,0.4848172116773934,0.022527806553913392,0.022322079456549494,0.020568480501991636,0.021817910319233903,0.08362723293852047,0.13266927765809935,0.0032508528948199116,0.07528646760319689,1.0,0.24183810683256077,0.9581225284860538,0.9824889838760804,0.023986136154306045,0.11137521282918114,0.21572840421498093,0.47645530142283066,0.5712531077413658,0.0270841921450396,0.4812690587919336,0.20457394675174193,0.596203319116649,0.5668640696671109,0.054002278960853495,0.2104265311585679,0.03560964593185548,0.2794120448094897,0.23277416279161744,0.05254212145015974,0.10111415978345832,,0.0027179977330981596,,0.0012957545453616832,0.0011598105419521566,0.1013293834200287,0.07933756952735088,0.2734676671141478,0.9471210572710588,0.8788578688829434,0.9386123378609225,0.8518607987185212,0.24789243666391642,0.10111415978345832,0.004683567838841403,0.2510200006968442,0.019426018532367688,0.1605781302940437,0.0027179977330981596,0.004639926558806936,0.04589680887043284,0.8737777565757274,0.003250852894819906,0.9581225284860538,0.0012957545453616832,,,,,,,0.022527806553913392,0.020596797963694104,0.022322079456549494,0.021817897565114493,0.10900620777708209,0.06551181776087335,0.016562239133275848,0.0012592279305125402,0.06981968573812718,0.03440062470890627,0.07107943075719668,0.06828571672359401,0.5687432293596221,0.16669437289042788,0.5736566255081069,0.5508280145045158
Bwd Packet Length Min,0.2619049752593481,0.2384440364753356,0.00605944477641137,0.005337707881724594,0.02778943597787801,0.004257230914649077,0.14189843482735473,0.2949332458441775,0.03941876405018379,0.15266307402783028,0.24183810683256077,1.0,0.17229353977988843,0.25824087289100406,0.02004679993677178,0.12316341750495878,0.09339178556257859,0.14493931948477404,0.18612854977411747,0.028822499432694076,0.2340975614646812,0.05753421464998912,0.20237774314552426,0.1830941854528034,0.04468278873339465,0.17035311252508725,0.0014227556181652765,0.1313321998504183,0.09855681704247678,0.05627290896654307,0.0924505485819424,,0.0033763247589552684,,0.0007250222176683468,0.0006684917076934638,0.1185742173451518,0.05462829320560035,0.717673937260873,0.25642659957183384,0.18824510873760095,0.24406498968617263,0.18611866420301182,0.10136254003934791,0.0924505485819424,0.010024958447755456,0.38638348505330966,0.3733909971718463,0.19297500968063197,0.0033763247589552684,0.010044836033738987,0.2013150693562097,0.1619506526605438,0.03941876405018379,0.17229353977988843,0.0007250222176683468,,,,,,,0.006059444776411371,0.027826417344681595,0.005337707881724593,0.004257213687063816,0.29426855455432166,0.14427499606935704,0.0043024429031450736,0.00033801112127523984,0.07278414625712504,0.06290455798348855,0.08846156872681205,0.0577668447022521,0.17297563528812246,0.05987138921065885,0.17631409873823609,0.16548205961659426
Bwd Packet Length Mean,0.24082529078931283,0.44743868437459855,0.021099094201727897,0.021224000640612774,0.016280631809127883,0.020533189013310197,0.06335881381287556,0.11362156523815437,0.014035455800225373,0.05578907661743354,0.9581225284860538,0.17229353977988843,1.0,0.9406744176184053,0.02606244251351541,0.12389619684563019,0.20345759821864293,0.4684033456800744,0.5677307947780919,0.030048529270137132,0.4442478187015628,0.1952830677927267,0.5855647944555291,0.5631209723586769,0.050856948031361454,0.146203889969507,0.015278842309193887,0.225385175102695,0.19114339262800797,0.048409369195659954,0.11051980360495457,,0.003052562030670314,,0.0013814871118901849,0.0011272095144643037,0.11323367816509923,0.08565400809754153,0.22620828021936654,0.9029253122769568,0.9207715339558611,0.9180915464771472,0.7930752557760551,0.21619199927890792,0.11051980360495457,0.005542674743234676,0.2283980049788015,0.0364799155442254,0.17962125669556414,0.003052562030670314,0.0054927530993877935,0.01973605988502741,0.9150858620031009,0.014035455800225366,1.0,0.0013814871118901849,,,,,,,0.021099094201727897,0.016303285995475824,0.021224000640612778,0.020533160573536813,0.10116867384203701,0.07968092009079189,0.01610711319151255,0.0013210291749034522,0.06954325846425996,0.027224559413228277,0.06481343457404823,0.0702512348154518,0.5648504517118412,0.16649372760799908,0.5697987731318002,0.547236927205373
Bwd Packet Length Std,0.1924454247962338,0.4325715059988545,0.006006782736215667,0.005687254015849334,0.007498116278553985,0.005745358451522909,0.06501347045813712,0.13327061672330845,0.006217826857095872,0.06709891068947342,0.9824889838760804,0.25824087289100406,0.9406744176184053,1.0,0.021727072354205332,0.10010631942822948,0.211067751772885,0.46044610126113417,0.5445536396588346,0.024381744531182137,0.42939574548090764,0.1963574438734424,0.571952971975049,0.5404386888563931,0.050375493452248406,0.15286141419549878,0.029527130976744406,0.2504795810366421,0.19930706023453582,0.04927940330885146,0.09285375040102205,,0.0024314753783446453,,0.0011139728578357909,0.0008848205872829545,0.09087482923269803,0.07233667183395745,0.27837374862473985,0.9313478960122822,0.849176411626576,0.9414235534987382,0.8902511110058955,0.2309732076535066,0.09285375040102205,0.004540281368595773,0.2348636987992873,0.007152783144430382,0.14362218940898722,0.0024314753783446453,0.004500760174098636,0.06037337695327516,0.8490915966558449,0.006217826857095858,0.9406744176184051,0.0011139728578357909,,,,,,,0.006006782736215667,0.007508725077623052,0.005687254015849334,0.005745485054593768,0.08859757811542673,0.05966662352810228,0.004265917238997331,0.0011661524437001423,0.05391141028200856,0.0112661796422661,0.04455298583020546,0.05850031786022508,0.5395923657096466,0.1743878479772889,0.54643369210801,0.5206500358494871
Flow Bytes/s,0.07028506265470207,0.0250459513447996,0.0003895488015193781,0.00033385873261903177,0.002261324027743283,0.0005284745443867394,0.03616106185283419,0.0020784778397819046,0.0864587878182693,0.07637069373326251,0.023986136154306045,0.02004679993677178,0.02606244251351541,0.021727072354205332,1.0,0.28727188835295053,0.016424524481701466,0.02062380294937852,0.021331813342022204,0.0030049030901657,0.02457924576100522,0.015502441411432503,0.019243574420573173,0.020942146536057978,0.006666137416390949,0.01953398772109187,0.011480272276092322,0.01338357540618368,0.015452957914857303,0.006565460561578846,0.17199806854398697,,0.0002955686172028123,,3.5747670553345125e-05,6.921405348479025e-05,0.29957634478315626,0.0072192750803414,0.002215234098690062,0.006842025445539677,0.05284180969553148,0.008350424058590222,0.003544147652038905,0.008220848802910793,0.17199806854398697,0.0008693108048785677,0.03231869150915413,0.05871286263685391,0.015278978297691552,0.0002955686172028123,0.0008707487365069258,0.04103895835235572,0.08259505143050123,0.0864587878182693,0.02606244251351541,3.5747670553345125e-05,,,,,,,0.00038954880151937824,0.0022644428940516146,0.00033385873261903177,0.000528503022886014,0.01347951189471954,0.012271813583656697,0.0003956140174549319,8.031190237466826e-05,0.0070578916984268695,0.005891334186725704,0.008402180436034773,0.005659249563100026,0.019990673396613614,0.006171829687059809,0.020276247406609035,0.019244293248806305
Flow Packets/s,0.35953083775174993,0.1105086828337662,0.0023535924105328463,0.0023931843910387487,0.011920994821605913,0.001681065530491925,0.055842564979063036,0.05038485125385686,0.042326242561099285,0.03651892105561724,0.11137521282918114,0.12316341750495878,0.12389619684563019,0.10010631942822948,0.28727188835295053,1.0,0.07241977645344844,0.09093867052483434,0.09407376661465951,0.013248319294124242,0.10844656174139551,0.0683523079939862,0.08485252110445263,0.09235057135178051,0.029389953990548685,0.08621447369232534,0.0506185896519938,0.05901892753129187,0.06815683436069651,0.028946102257724017,0.2882260516976158,,0.009836179578281637,,0.00018965964728884734,0.00031988031857941055,0.980492576047129,0.32336534875476747,0.10182436858155282,0.11149833620975161,0.11360610508454666,0.1072702803195264,0.07170544625957953,0.0006445303992666618,0.2882260516976158,0.0038654059859635718,0.09904666174435219,0.25214784496519804,0.0008654993533757587,0.009836179578281637,0.0038733994661537046,0.13951929043522932,0.10819592286187063,0.0423262425610993,0.12389619684563019,0.00018965964728884734,,,,,,,0.0023535924105328463,0.011936888876942628,0.0023931843910387487,0.0016810505725499345,0.056716190210261704,0.019856339406198607,0.0018099647914704123,0.0003860194109198102,0.03126571470593535,0.025995797995410574,0.03715000182196491,0.025108908900152653,0.0881529082830067,0.02721533432089186,0.089412111659549,0.0848616587471811
Flow IAT Mean,0.1149063276317126,0.5342496876964845,0.0013977652029565377,0.0017400035379705593,0.0025949376375025645,0.001658753810518599,0.06340809815539519,0.021393030542395115,0.04600572971018952,0.06674231755707223,0.21572840421498093,0.09339178556257859,0.20345759821864293,0.211067751772885,0.016424524481701466,0.07241977645344844,1.0,0.7107172304693533,0.6559823462191823,0.630406255117974,0.5339570432384084,0.9017955115524606,0.42034195768362587,0.6544063418019489,0.7741856985743026,0.3475341050579095,0.6331998063260196,0.2585383621155146,0.4878657064023954,0.5734223284879129,0.05205668899322274,,0.001755999627288316,,0.00023121218367051283,0.0005350465104394242,0.06568380484343883,0.052621548921903655,0.043591917864601794,0.219967807470445,0.17135513607393466,0.20180629737422426,0.15079579942286592,0.14657561753327453,0.05205668899322274,0.0025075112771427103,0.06724795533490716,0.09496402707229944,0.01892727102087282,0.001755999627288316,0.002479742675798695,0.08811691196217501,0.1665041209354909,0.046005729710189534,0.20345759821864293,0.00023121218367051283,,,,,,,0.0013977652029565372,0.002598799012488191,0.0017400035379705598,0.001658726863065973,0.007137450851542184,0.03439177759015066,0.0013285342163550102,0.0001336411879920523,0.06221201470550863,0.017334007223261182,0.04864308013396707,0.06323061011327656,0.6064861749625113,0.1402887235110549,0.6082050323061033,0.5927551211228882
Flow IAT Std,0.13354363573676942,0.734439872285126,0.0009949098999214362,0.0014623978246687593,0.012508740763489255,0.0015112467583289395,0.14651888461605508,0.057441085003455704,0.1112691691211179,0.1543263600160247,0.47645530142283066,0.14493931948477404,0.4684033456800744,0.46044610126113417,0.02062380294937852,0.09093867052483434,0.7107172304693533,1.0,0.937529364477109,0.02046472004656177,0.7341344219224858,0.8277051000918428,0.8024980452283834,0.935547995809774,0.5167095020443245,0.45320348141017175,0.6681775179659658,0.480534650199632,0.67676371510953,0.5441921694933555,0.013141239147707649,,0.0022050418775865477,,1.0533096437407717e-05,0.0011345434319064592,0.0824799935622885,0.06607877450205671,0.12764132712580775,0.48680399282632186,0.4082486001997674,0.4552008417047174,0.3352933366906712,0.30163543337575216,0.013141239147707649,0.00918880381668282,0.08708616992905358,0.12254619757430484,0.09430052013162513,0.0022050418775865477,0.009140711999522502,0.09453301753167744,0.39788119020478924,0.1112691691211179,0.4684033456800744,1.0533096437407717e-05,,,,,,,0.0009949098999214362,0.012526081238431725,0.0014623978246687593,0.001511205787171734,0.07009211029095617,0.05047730203096224,0.0012266891772530547,0.0006180953852388152,0.08322542773222144,0.024078405259161644,0.0606194548660714,0.08254899292735236,0.9305163969033126,0.231576135377886,0.9348002683015149,0.9077046174986748
Flow IAT Max,0.13252723854273693,0.7795959213123165,0.001822614161440399,0.0013702742911982572,0.024700348464703394,0.0008060089729846567,0.19117935124329524,0.08271429746466148,0.14129217599637317,0.19600082114847817,0.5712531077413658,0.18612854977411747,0.5677307947780919,0.5445536396588346,0.021331813342022204,0.09407376661465951,0.6559823462191823,0.937529364477109,1.0,0.09604885592928204,0.7792868705564638,0.6775124972724784,0.9151751280232405,0.9980501577986898,0.310211556483279,0.4323610856027492,0.4519908342162501,0.5465420713824078,0.6452983308188085,0.3022521803220862,0.012499027453882922,,0.002281066361748097,,0.0004938169085901777,0.0016307666115019507,0.08532364042202491,0.06835601013222409,0.18033903993799952,0.5864284240967539,0.5026888467430639,0.5467723619669075,0.3945699760914366,0.34104540822612894,0.012499027453882922,0.013991046835639929,0.07436540712332708,0.16134567217003193,0.08235390805218201,0.002281066361748097,0.01393146370729409,0.11929388526340037,0.48842629725741477,0.14129217599637317,0.567730794778092,0.0004938169085901777,,,,,,,0.001822614161440399,0.0247329700621281,0.0013702742911982568,0.0008060340498770837,0.047112200410239766,0.06134762696748354,0.0008149451012984536,0.0012744254397414022,0.1252667145609702,0.04867988136032309,0.09348716711576024,0.11671682000676545,0.979825652981891,0.2776352850298316,0.9894704555058879,0.951169988355022
Flow IAT Min,0.023601793188886843,0.060384236049457626,0.000594335739410771,0.000619766112619879,0.003069492280611512,0.0004312544504695783,0.015747562092306308,0.002021327532008619,0.012137863579136597,0.014718991399696539,0.0270841921450396,0.028822499432694076,0.030048529270137132,0.024381744531182137,0.0030049030901657,0.013248319294124242,0.630406255117974,0.02046472004656177,0.09604885592928204,1.0,0.0609229509739761,0.2866897220479306,0.019879028891572607,0.09593049640238921,0.3274412831753712,0.020524899330347714,0.01109978148736154,0.014286846017112541,0.015926064695996542,0.005783362187608998,0.0830749068565524,,0.00032123098621172403,,0.00013473654222330138,8.60250558449596e-05,0.012016236952781392,0.00962555935910763,0.009933753853297148,0.027885167699961896,0.02999577243766341,0.02822739724475312,0.017910592680475117,0.008746152943239636,0.0830749068565524,0.0009408120834176563,0.03432889213185032,0.07408000663093059,0.07996779332397083,0.00032123098621172403,0.0009428672899636862,0.05167127624825505,0.02934538429907345,0.012137863579136597,0.030048529270137132,0.00013473654222330138,,,,,,,0.000594335739410771,0.003073588322726239,0.000619766112619879,0.00043125123165155114,0.07205027965032594,0.01390606943629969,0.0004649939930871645,0.0001430174885050362,0.0005737208730674708,0.006294629562613176,0.004578100746825058,0.001777938738343687,0.027629262230655847,0.005355829859536671,0.026103882842214526,0.02874543703984991
Fwd IAT Total,0.17301709360721207,0.9985267446650781,0.020212965365304193,0.019016657075317196,0.06252467788846103,0.015665144256137832,0.25879016854526427,0.1188651349574573,0.1300516759279799,0.22105300892137755,0.4812690587919336,0.2340975614646812,0.4442478187015628,0.42939574548090764,0.02457924576100522,0.10844656174139551,0.5339570432384084,0.7341344219224858,0.7792868705564638,0.0609229509739761,1.0,0.5444231215622268,0.7227571173239121,0.7818048504281424,0.21072585522365941,0.8164227581018049,0.4076303401682056,0.5138514173424229,0.5771024034528929,0.21360338746402424,0.01696119913312346,,0.002629602225524705,,0.0006096563252873966,0.001066856056406744,0.09836010082244669,0.07879692046755765,0.24148698216015013,0.4968579624635084,0.4118534873278908,0.4404207853592324,0.2694114743205591,0.21958792602163124,0.01696119913312346,0.007057066320974247,0.16860768033374798,0.035167607799806704,0.11983968609399212,0.002629602225524705,0.007008118710205494,0.1779176280158024,0.38971251032355286,0.1300516759279799,0.44424781870156277,0.0006096563252873966,,,,,,,0.02021296536530419,0.06260625086210143,0.019016657075317196,0.01566467626420357,0.0873967945621267,0.035961470043727156,0.015410109553011779,0.0012522645635253595,0.17973714643938513,0.23480551215516152,0.2851566000391494,0.11290302672220066,0.7642640583748057,0.23949278032748048,0.775806096347301,0.7343298074337647
Fwd IAT Mean,0.10823027607277858,0.5425972964847906,0.0013912578512263241,0.0015683977374592796,0.00414958924041595,0.0015431786622599184,0.07805141435266408,0.013184489311700982,0.06382352441485489,0.0832687795647026,0.20457394675174193,0.05753421464998912,0.1952830677927267,0.1963574438734424,0.015502441411432503,0.0683523079939862,0.9017955115524606,0.8277051000918428,0.6775124972724784,0.2866897220479306,0.5444231215622268,1.0,0.41231772412766604,0.6787695164039891,0.8855686554532035,0.423349604973285,0.8489190046038863,0.2853631772250589,0.623033645427907,0.7973212309483163,0.017682779839114933,,0.0016573632175847998,,0.00020655935765749814,0.0005673621204307637,0.061994373878065015,0.049667509666667706,0.006194112960942082,0.2143830111267675,0.1761602725682913,0.1974812742548402,0.1446994905007029,0.17863346380507766,0.017682779839114933,0.001163047620375159,0.08055507990100559,0.03344740045881235,0.049182782262464655,0.0016573632175847998,0.0011394525507637794,0.04472704342421946,0.1719583455548626,0.06382352441485488,0.19528306779272672,0.00020655935765749814,,,,,,,0.0013912578512263237,0.004155538422343239,0.0015683977374592796,0.0015431529467051857,0.03944338109563736,0.03992978905665719,0.0012704446305593835,0.00016292964627418922,0.04018271400380402,0.009040061637330817,0.03131386811357158,0.042311122268809814,0.6590976048065643,0.12236809917187355,0.6562210706062263,0.6486114579103185
Fwd IAT Std,0.11250567133261527,0.7206442239350602,0.00037080875081378477,0.0008943218980686804,0.021070389780538528,0.0010477960939318447,0.21548805217444583,0.10584882742729085,0.1630351041560195,0.22955262012756983,0.596203319116649,0.20237774314552426,0.5855647944555291,0.571952971975049,0.019243574420573173,0.08485252110445263,0.42034195768362587,0.8024980452283834,0.9151751280232405,0.019879028891572607,0.7227571173239121,0.41231772412766604,1.0,0.917455819412502,0.0412799401983231,0.3748736264373624,0.19373093310670153,0.6275938424348378,0.5414934819498854,0.008427208337969384,0.023090022070083538,,0.002057463490286708,,0.00018967064372501496,0.0015137952347482747,0.07695984743573112,0.06165690490797051,0.21860308026377168,0.6198099214226297,0.5283527174999504,0.5831951640364355,0.4278904182118394,0.41965086261853,0.023090022070083538,0.010745395121055054,0.0710224295135268,0.16694266021298967,0.07933778885247215,0.002057463490286708,0.010695688880664876,0.13553931408405878,0.5150113851914087,0.16303510415601952,0.5855647944555292,0.00018967064372501496,,,,,,,0.00037080875081378493,0.021099301934626523,0.0008943218980686804,0.0010477530918993493,0.059359335598155226,0.04504776726962208,0.0008485665810158982,0.0009622059689048932,0.09057431528804842,0.028011348837029066,0.06703471240642174,0.08912370021785707,0.9030558757556626,0.2763749834196964,0.9141343842478686,0.8736914996215901
Fwd IAT Max,0.13122523500493727,0.7793435274729378,0.0013787025040417514,0.0009118980971235115,0.024779269718396325,0.000354318798342067,0.19527561872125535,0.08943464632817778,0.14478474068235095,0.20138365993027926,0.5668640696671109,0.1830941854528034,0.5631209723586769,0.5404386888563931,0.020942146536057978,0.09235057135178051,0.6544063418019489,0.935547995809774,0.9980501577986898,0.09593049640238921,0.7818048504281424,0.6787695164039891,0.917455819412502,1.0,0.3102620134952673,0.4325577625837072,0.4511588782374751,0.5444681473062112,0.6434524564418814,0.3020556002138315,0.012446132490653952,,0.0022392750252837055,,0.0005102975002687558,0.0016442887114584395,0.08376057286334697,0.06710467009690621,0.17718137317587804,0.5844604356294655,0.49878502926926216,0.5442395721845615,0.39325215113166917,0.34080033647575064,0.012446132490653952,0.013031259864181537,0.0793356346874439,0.16223316493098514,0.08361723730912163,0.0022392750252837055,0.012974296090991311,0.13378961595709804,0.4846524401363286,0.14478474068235095,0.5631209723586769,0.0005102975002687558,,,,,,,0.0013787025040417514,0.024811994136216223,0.0009118980971235116,0.0003543029004359434,0.05044005881325864,0.06185176458072939,0.0004133924657499851,0.0012882509627496134,0.12239569354243589,0.04814179247876986,0.09184112270394695,0.11384858423810518,0.9781959680845662,0.2831004991738261,0.9886172453169307,0.9487440525727486
Fwd IAT Min,0.05603925992406708,0.20952088736243568,0.0013032800542747314,0.0011717208525094482,0.006194645215343941,0.0009477629832891141,0.029973885284143603,0.04190297900689283,0.011616044265656593,0.02919636542033725,0.054002278960853495,0.04468278873339465,0.050856948031361454,0.050375493452248406,0.006666137416390949,0.029389953990548685,0.7741856985743026,0.5167095020443245,0.310211556483279,0.3274412831753712,0.21072585522365941,0.8855686554532035,0.0412799401983231,0.3102620134952673,1.0,0.22400576450148568,0.8192087041556603,0.024239919056282005,0.4047367552131696,0.8836453236028423,0.029665829036954618,,0.0007126211476992903,,0.0002582371254502301,0.00012119426866094193,0.02665615267529718,0.021356076945391645,0.10959469473022641,0.056653516973393436,0.05084632724140052,0.0568766194819092,0.0395787536429342,0.022958955886513466,0.029665829036954618,0.0020864418276704795,0.07987267356207794,0.024802839929347387,0.009684283173687008,0.0007126211476992903,0.002090870687013262,0.02311053988049863,0.048818984982966024,0.01161604426565659,0.05085694803136146,0.0002582371254502301,,,,,,,0.0013032800542747312,0.006202898876983924,0.0011717208525094482,0.0009477557247571342,0.026895455030106968,0.029558718700815306,0.0009424393500627577,0.00023045778018049664,0.003920589644876003,0.013520620378595628,0.011674293719748782,0.000759165157181942,0.2968196704134645,0.0059696861830314234,0.28700325852050473,0.3010105265464505
Bwd IAT Total,0.1213627443719391,0.819627386552049,0.023771935667786258,0.02320020368203001,0.07593510010028053,0.018944949011860023,0.2906734701668473,0.08045146763427226,0.16871126038208303,0.24207367803036864,0.2104265311585679,0.17035311252508725,0.146203889969507,0.15286141419549878,0.01953398772109187,0.08621447369232534,0.3475341050579095,0.45320348141017175,0.4323610856027492,0.020524899330347714,0.8164227581018049,0.423349604973285,0.3748736264373624,0.4325577625837072,0.22400576450148568,1.0,0.5074082719540394,0.6404110023260002,0.719500023874956,0.2669238397426693,0.0005828505908021,,0.0020905409109840786,,0.00015029554828346507,0.0015442842495009517,0.07819618054363298,0.06264117285080067,0.17590093891717026,0.24837489058164433,0.20460996957682578,0.2018142219285172,0.07710364581586915,0.2472971812875475,0.0005828505908021,0.004202373562682087,0.27468722788516703,0.1589839879113943,0.08715616943378378,0.0020905409109840786,0.004219928654620612,0.05551673690377605,0.18493849689575387,0.168711260382083,0.14620388996950698,0.00015029554828346507,,,,,,,0.023771935667786265,0.07603414061149823,0.02320020368203001,0.018944530864444857,0.13908276969675662,0.015289539380479207,0.0189631839200138,0.0012349217679191054,0.1425871005121564,0.2636398857648843,0.28306407603570005,0.06669527681365504,0.43553235922761596,0.11362114781880317,0.4396362827278365,0.41914831505977307
Bwd IAT Mean,0.07673738630374162,0.4081965568659686,0.0009055454745069527,0.0010591971598440766,0.006394501600827679,0.0013201769460450647,0.06120615603320227,0.015034375142070797,0.059599630917293145,0.059261368318145054,0.03560964593185548,0.0014227556181652765,0.015278842309193887,0.029527130976744406,0.011480272276092322,0.0506185896519938,0.6331998063260196,0.6681775179659658,0.4519908342162501,0.01109978148736154,0.4076303401682056,0.8489190046038863,0.19373093310670153,0.4511588782374751,0.8192087041556603,0.5074082719540394,1.0,0.32225497054510704,0.7061431842881307,0.9330715951997391,0.0421750316341286,,0.0012273734980278556,,2.66453271744489e-05,0.0007875845398298979,0.04591023543730398,0.036781276964704145,0.04192538928430913,0.04910644287105293,0.033400424256364664,0.03960405162816189,0.021726974839838337,0.13601956659633674,0.0421750316341286,0.003014753177724631,0.022704160853556057,0.07781126566981242,0.056714232716244914,0.0012273734980278556,0.0030238645572321777,0.01790222556354307,0.031336067094682396,0.05959963091729317,0.015278842309193895,2.66453271744489e-05,,,,,,,0.0009055454745069527,0.006403406462224897,0.0010591971598440763,0.0013201603109675127,0.0260102189347015,0.03376994959195337,0.000688794368294388,0.0004622609832627911,0.04285938912873856,0.06873996637815873,0.05526308993962508,0.017915415899374537,0.4573528700057877,0.07540134554039084,0.4565733104834634,0.45113005202994655
Bwd IAT Std,0.04258012136209034,0.5172889651790712,0.0004496970646892173,0.0002493444765001665,0.03493062165210229,0.0006733545339756163,0.2644752391564516,0.05346882174907366,0.2326671842319589,0.2685925228122227,0.2794120448094897,0.1313321998504183,0.225385175102695,0.2504795810366421,0.01338357540618368,0.05901892753129187,0.2585383621155146,0.480534650199632,0.5465420713824078,0.014286846017112541,0.5138514173424229,0.2853631772250589,0.6275938424348378,0.5444681473062112,0.024239919056282005,0.6404110023260002,0.32225497054510704,1.0,0.8486924576104169,0.01365997056380812,0.0081844138599622,,0.0014310679416325717,,0.0009415096968226438,0.002877887986741117,0.053529335130794234,0.04288460524988699,0.14026903487580422,0.3348481172894366,0.28617077049114115,0.3103492213008124,0.21065686895348196,0.5464654098098076,0.0081844138599622,0.0025548019680704487,0.0467308308107942,0.09275997499511174,0.02696090417794752,0.0014310679416325717,0.0025675109335080355,0.021635730390332814,0.2762122973352573,0.2326671842319589,0.22538517510269496,0.0009415096968226438,,,,,,,0.00044969706468921735,0.034978138744764624,0.0002493444765001664,0.0006733226869231863,0.01239451272513043,0.03510674350505301,0.0002549248302218038,0.002236998541911709,0.08648149663676903,0.09237265243407031,0.09485484837999376,0.05735818217613124,0.5436177377031991,0.15892402113994822,0.551103283077094,0.5262967903883944
Bwd IAT Max,0.06275812630896621,0.5798713670957322,0.0030666648923703458,0.0031514472417679155,0.040256079443799504,0.0017123635110529044,0.25209877621929644,0.03502222950996569,0.2229749918511475,0.2505640314951474,0.23277416279161744,0.09855681704247678,0.19114339262800797,0.19930706023453582,0.015452957914857303,0.06815683436069651,0.4878657064023954,0.67676371510953,0.6452983308188085,0.015926064695996542,0.5771024034528929,0.623033645427907,0.5414934819498854,0.6434524564418814,0.4047367552131696,0.719500023874956,0.7061431842881307,0.8486924576104169,1.0,0.4666959268378028,0.016289763321921977,,0.0016526479361364936,,0.0008409948192372257,0.0028211965006401303,0.06181744478732556,0.04952364024949067,0.08563693386091359,0.2871333187786262,0.2542134112025954,0.2604147050102608,0.16810294172429405,0.4712835157197414,0.016289763321921977,0.0028322606062052423,0.02423136497559651,0.10367551283388363,0.03986888759748732,0.0016526479361364936,0.002847201519644364,0.04173281721118903,0.2436712846852391,0.22297499185114752,0.19114339262800797,0.0008409948192372257,,,,,,,0.0030666648923703453,0.04030911235159193,0.0031514472417679155,0.0017125520715113758,0.0043805083599859716,0.04440122729808231,0.002418530652099332,0.0021591606826596565,0.11712307741790191,0.10355105425548441,0.11389281915364476,0.08474880078893238,0.6451228558766575,0.16726942024693228,0.6509520386857636,0.6279169850493769
Bwd IAT Min,0.05562585070454174,0.2124761743920654,0.001157133027115653,0.0011111317590927056,0.00518456506628219,0.0009324546322164245,0.028599485867421906,0.03928316389231154,0.009477771220556135,0.028035105963682548,0.05254212145015974,0.05627290896654307,0.048409369195659954,0.04927940330885146,0.006565460561578846,0.028946102257724017,0.5734223284879129,0.5441921694933555,0.3022521803220862,0.005783362187608998,0.21360338746402424,0.7973212309483163,0.008427208337969384,0.3020556002138315,0.8836453236028423,0.2669238397426693,0.9330715951997391,0.01365997056380812,0.4666959268378028,1.0,0.04721946720723201,,0.0007018675865269467,,0.00024643936927539156,0.00011601562700642354,0.02625360222043467,0.021033477405127805,0.10320152605853972,0.055268676810013274,0.048085345417639015,0.055198744298971196,0.038972149982063796,0.021423916218056876,0.04721946720723201,0.0020545669894406512,0.07134839061451687,0.04032794465756782,0.041709283642747993,0.0007018675865269467,0.0020590600392989995,0.029550313814414902,0.04649568595043357,0.009477771220556132,0.048409369195659954,0.00024643936927539156,,,,,,,0.0011571330271156527,0.0051914520833914604,0.0011111317590927054,0.0009324474698408088,0.049046004979384196,0.025165048775534868,0.0008103976413067957,0.00021206710667006994,0.013219761353871403,0.022750838447676176,0.009132169953835569,0.002129360023169712,0.309324473334898,0.024995392663170902,0.3052483639870499,0.30931657944276686
